timestamp, gyroX, gyroY, gyroZ, Accel_1_X, Accel_1_Y, Accel_1_Z, Accel_2_X, Accel_2_Y, Accel_2_Z5,8.3,5.0,-0.3,0.05,0.98,-0.83,-0.39,0.93,0.05, unclassified
748,8.4,4.9,0.5,0.00,0.93,-0.93,-0.49,0.93,-0.05, unclassified
760,8.7,5.0,0.4,0.00,0.88,-0.98,-0.49,0.93,-0.10, unclassified
773,8.7,5.0,0.5,0.05,0.93,-0.93,-0.49,0.88,-0.15, unclassified
786,8.7,5.0,0.5,0.05,0.98,-0.98,-0.49,0.93,-0.10, unclassified
798,8.7,4.9,0.6,0.10,0.88,-0.88,-0.49,1.03,-0.05, unclassified
811,8.5,5.0,0.6,0.15,0.88,-0.88,-0.49,0.98,-0.05, unclassified
823,8.4,4.9,0.5,0.10,0.93,-0.93,-0.44,0.93,-0.05, unclassified
835,8.4,5.0,0.0,0.05,0.98,-0.93,-0.49,0.93,0.00, unclassified
847,8.4,5.1,-0.3,0.10,0.98,-0.98,-0.49,0.93,0.05, unclassified
861,8.6,5.0,-0.6,0.10,0.93,-0.98,-0.44,0.98,0.05, unclassified
873,8.6,5.0,-0.9,0.10,0.88,-0.98,-0.49,0.88,0.00, unclassified
885,8.7,5.0,-1.1,0.05,0.98,-0.98,-0.49,0.93,0.05, unclassified
898,8.7,5.0,-1.1,0.15,0.93,-1.03,-0.49,0.98,0.05, unclassified
910,8.5,5.1,-0.9,0.10,0.98,-0.88,-0.44,0.93,0.00, unclassified
922,8.4,5.1,-0.8,0.05,1.03,-0.88,-0.39,0.98,0.00, unclassified
935,8.3,5.1,-0.6,0.10,0.98,-0.83,-0.44,0.98,0.00, unclassified
948,8.1,5.2,-0.6,0.10,1.03,-0.83,-0.44,0.93,0.00, unclassified
960,8.1,5.3,-0.6,0.05,0.98,-0.93,-0.39,0.98,0.00, unclassified
972,8.4,5.3,-0.5,0.05,0.93,-1.03,-0.54,0.93,-0.05, unclassified
985,8.6,5.4,-0.4,0.05,0.93,-0.93,-0.44,0.93,0.00, unclassified
997,8.7,5.4,-0.3,0.05,0.88,-0.93,-0.49,1.03,0.00, unclassified
1010,8.6,5.4,0.0,0.05,0.98,-0.93,-0.49,0.98,-0.05, unclassified
1022,8.4,5.4,0.2,0.05,0.93,-0.88,-0.44,0.98,-0.15, unclassified
1035,8.3,5.3,0.3,0.05,0.93,-0.93,-0.44,0.93,-0.10, unclassified
1047,8.1,5.3,0.6,0.10,0.88,-0.93,-0.49,0.98,-0.10, unclassified
1060,8.2,5.2,0.6,0.05,0.93,-0.93,-0.44,1.03,-0.10, unclassified
1073,8.3,5.2,0.6,0.00,0.88,-0.93,-0.49,0.98,-0.10, unclassified
1085,8.5,5.2,0.4,0.05,0.98,-0.88,-0.49,0.98,-0.05, unclassified
1097,8.6,5.2,0.3,0.05,0.93,-0.93,-0.49,1.03,-0.05, unclassified
1110,8.6,5.2,0.0,0.05,0.88,-0.98,-0.54,0.98,-0.05, unclassified
1123,8.7,5.2,0.0,0.05,0.98,-0.93,-0.44,0.98,-0.05, unclassified
1135,8.6,5.1,0.0,0.05,1.03,-0.88,-0.44,0.98,0.00, unclassified
1147,8.5,5.1,0.1,0.05,0.93,-0.78,-0.39,0.93,-0.05, unclassified
1160,8.2,4.9,0.3,0.10,0.93,-0.88,-0.44,0.98,0.00, unclassified
1172,8.3,4.8,0.4,0.10,0.98,-0.88,-0.49,0.88,-0.10, unclassified
1185,8.4,4.7,0.3,0.05,0.93,-0.78,-0.49,0.93,-0.05, unclassified
1198,8.5,4.7,0.3,0.05,1.03,-0.88,-0.49,0.93,-0.05, unclassified
1210,8.5,4.9,0.2,0.10,0.93,-0.93,-0.49,0.88,-0.15, unclassified
1222,8.5,5.0,0.1,0.10,0.88,-0.93,-0.44,0.93,0.00, unclassified
1234,8.5,5.1,0.0,0.05,0.98,-0.98,-0.39,0.98,0.00, unclassified
1248,8.5,5.1,-0.1,0.10,0.93,-0.88,-0.44,0.98,0.05, unclassified
1260,8.2,5.3,-0.5,0.20,0.98,-0.83,-0.34,0.98,0.05, unclassified
1272,8.1,5.3,-0.7,0.15,0.98,-0.88,-0.34,0.98,0.05, unclassified
1286,8.1,5.3,-0.9,0.15,0.98,-0.93,-0.39,0.98,0.10, unclassified
1298,8.3,5.4,-1.4,0.24,0.88,-0.88,-0.44,1.08,0.10, unclassified
1311,8.5,5.5,-2.0,0.24,0.88,-0.93,-0.44,0.98,0.10, unclassified
1325,8.6,5.5,-2.4,0.20,0.88,-0.88,-0.49,1.03,0.15, unclassified
1337,8.6,5.5,-2.5,0.20,0.88,-0.93,-0.44,0.98,0.15, unclassified
1349,8.5,5.4,-2.6,0.24,0.88,-0.98,-0.44,0.98,0.15, unclassified
1362,8.5,5.4,-2.8,0.20,0.93,-0.93,-0.44,0.98,0.15, unclassified
1376,8.5,5.4,-2.8,0.20,0.98,-0.88,-0.49,1.03,0.15, unclassified
1388,8.5,5.4,-2.8,0.24,0.98,-0.93,-0.39,0.88,0.15, unclassified
1401,8.4,5.4,-2.5,0.20,0.93,-0.93,-0.39,1.03,0.05, unclassified
1415,8.4,5.4,-2.3,0.20,0.98,-0.88,-0.44,0.93,0.05, unclassified
1428,8.4,5.3,-2.0,0.15,0.93,-0.88,-0.49,0.98,0.05, unclassified
1440,8.7,5.0,-1.2,0.10,0.83,-1.03,-0.54,0.93,-0.05, unclassified
1455,8.7,4.9,-0.9,0.10,0.83,-1.03,-0.49,0.93,0.00, unclassified
1468,8.7,4.8,-0.5,0.05,0.93,-0.98,-0.44,0.88,-0.10, unclassified
1480,8.6,4.8,-0.1,0.05,0.93,-0.98,-0.44,0.83,-0.05, unclassified
1492,8.5,4.7,0.1,0.10,0.93,-0.93,-0.44,0.88,-0.05, unclassified
1507,8.5,4.5,0.5,0.10,0.93,-0.93,-0.49,0.88,-0.10, unclassified
1519,8.6,4.3,0.5,0.05,0.93,-0.93,-0.49,0.83,-0.05, unclassified
1531,8.7,4.1,0.4,0.10,0.93,-0.93,-0.49,0.83,0.00, unclassified
1544,8.8,4.0,0.2,0.10,0.88,-1.03,-0.49,0.78,0.00, unclassified
1558,8.8,4.0,0.0,0.10,0.93,-0.98,-0.49,0.83,0.00, unclassified
1570,8.8,4.1,-0.4,0.15,0.88,-0.88,-0.44,0.78,-0.05, unclassified
1583,8.7,4.1,-0.3,0.15,0.98,-0.93,-0.49,0.83,-0.05, unclassified
1595,8.6,4.1,-0.2,0.10,0.93,-0.98,-0.49,0.83,-0.15, unclassified
1608,8.7,4.0,0.1,0.10,0.88,-0.93,-0.49,0.83,0.00, unclassified
1620,8.8,3.9,0.4,0.05,0.98,-0.93,-0.44,0.83,-0.15, unclassified
1633,8.8,3.9,0.5,0.10,0.98,-0.93,-0.44,0.88,-0.05, unclassified
1645,8.6,4.0,0.4,0.00,0.93,-0.88,-0.44,0.83,-0.05, unclassified
1658,8.7,4.3,0.0,0.05,0.93,-0.98,-0.49,0.88,0.00, unclassified
1671,8.9,4.5,-0.2,0.05,0.88,-0.93,-0.54,0.88,-0.05, unclassified
1683,9.0,4.6,-0.2,0.10,0.88,-0.93,-0.54,0.88,0.00, unclassified
1695,9.0,4.6,-0.3,0.15,0.88,-0.98,-0.49,0.88,-0.05, unclassified
1709,8.7,4.5,0.0,0.15,0.83,-0.88,-0.49,0.83,0.10, unclassified
1721,8.6,4.5,0.2,0.15,0.93,-0.93,-0.49,0.88,-0.05, unclassified
1733,8.6,4.4,0.3,0.10,0.98,-0.93,-0.49,0.88,0.00, unclassified
1745,8.5,4.5,0.3,0.15,0.93,-0.98,-0.44,0.88,0.00, unclassified
1758,8.6,4.5,0.2,0.15,0.93,-0.93,-0.49,0.88,-0.05, unclassified
1771,8.7,4.6,0.2,0.15,0.98,-0.93,-0.49,0.88,-0.05, unclassified
1783,8.7,4.7,0.0,0.05,0.93,-0.98,-0.49,0.93,-0.05, unclassified
1796,8.7,4.7,0.0,0.05,0.98,-0.93,-0.54,0.93,0.00, unclassified
1808,8.6,4.9,0.2,0.15,1.03,-0.98,-0.39,0.98,-0.10, unclassified
1820,8.6,4.9,0.3,0.10,0.98,-0.93,-0.39,0.88,-0.05, unclassified
1833,8.5,4.9,0.4,0.10,0.93,-0.88,-0.44,0.93,-0.05, unclassified
1846,8.5,4.9,0.4,0.05,0.98,-0.83,-0.44,0.88,0.00, unclassified
1858,8.2,4.9,0.2,0.05,0.98,-0.88,-0.39,0.93,0.00, unclassified
1870,8.2,4.8,0.2,0.10,0.98,-0.83,-0.49,0.98,0.00, unclassified
1884,8.3,4.9,0.0,0.05,0.93,-0.93,-0.49,0.93,0.00, unclassified
1896,8.4,5.0,-0.0,0.05,0.88,-0.93,-0.44,0.98,0.00, unclassified
1908,8.6,5.2,-0.2,0.10,0.93,-0.93,-0.49,0.93,-0.05, unclassified
1921,8.5,5.3,-0.2,0.10,0.98,-0.93,-0.44,1.03,0.00, unclassified
1933,8.4,5.4,-0.2,0.10,0.93,-0.83,-0.44,0.93,0.05, unclassified
1946,8.3,5.5,-0.3,0.10,0.93,-0.93,-0.39,0.98,0.05, unclassified
1958,8.1,5.6,-0.4,0.05,0.93,-0.83,-0.44,0.98,0.00, unclassified
1972,8.2,5.7,-0.4,0.10,0.93,-0.78,-0.44,1.03,0.00, unclassified
1984,8.3,5.7,-0.4,0.10,0.88,-0.88,-0.49,1.03,0.00, unclassified
1997,8.4,5.8,-0.4,0.10,0.93,-0.93,-0.44,1.03,-0.05, unclassified
2010,8.7,5.8,-0.4,0.05,0.88,-0.98,-0.44,0.98,-0.05, unclassified
2023,8.5,5.7,-0.2,0.05,0.88,-0.88,-0.49,1.03,-0.05, unclassified
2035,8.4,5.6,-0.0,0.05,0.93,-0.98,-0.44,0.93,-0.05, unclassified
2048,8.3,5.5,0.3,0.05,1.03,-0.88,-0.39,0.98,-0.10, unclassified
2061,8.2,5.4,0.5,0.05,1.03,-0.88,-0.49,0.98,-0.10, unclassified
2074,8.1,5.5,0.6,0.05,0.98,-0.93,-0.39,0.93,-0.05, unclassified
2087,8.1,5.4,0.7,0.05,0.93,-0.93,-0.44,0.98,-0.10, unclassified
2100,8.2,5.4,0.6,0.00,0.98,-0.93,-0.39,0.98,-0.10, unclassified
2113,8.4,5.4,0.5,0.05,0.88,-0.88,-0.44,1.03,-0.05, unclassified
2126,8.5,5.4,0.4,0.15,0.88,-0.98,-0.49,1.08,0.00, unclassified
2139,8.8,5.4,-0.0,0.15,0.88,-0.93,-0.39,1.03,0.00, unclassified
2153,8.6,5.5,-0.1,0.24,0.88,-0.83,-0.44,1.03,-0.05, unclassified
2166,8.3,5.6,-0.4,0.20,0.98,-0.88,-0.44,1.03,-0.05, unclassified
2179,8.0,5.6,-0.8,0.15,0.98,-0.83,-0.39,0.93,0.10, unclassified
2191,8.0,5.6,-1.1,0.29,0.93,-0.88,-0.44,0.98,0.10, unclassified
2204,8.1,5.5,-1.6,0.20,0.98,-0.88,-0.39,0.98,0.10, unclassified
2217,8.4,5.3,-2.0,0.20,0.93,-0.93,-0.49,0.88,0.15, unclassified
2230,8.7,5.1,-2.2,0.24,0.83,-0.88,-0.49,0.93,0.10, unclassified
2242,8.8,5.0,-2.1,0.24,0.88,-0.93,-0.49,0.93,0.05, unclassified
2255,8.8,4.9,-2.1,0.24,0.93,-0.98,-0.44,0.88,0.05, unclassified
2269,8.5,4.7,-1.4,0.20,0.98,-0.93,-0.49,0.93,0.05, unclassified
2281,8.5,4.7,-1.3,0.20,0.93,-0.93,-0.49,0.93,0.05, unclassified
2293,8.6,4.7,-1.2,0.15,0.98,-0.93,-0.49,0.88,0.00, unclassified
2307,8.6,4.6,-1.1,0.15,0.98,-0.93,-0.54,0.93,0.00, unclassified
2319,8.4,4.5,-1.0,0.20,0.93,-1.03,-0.49,0.93,-0.05, unclassified
2331,8.4,4.5,-1.0,0.10,0.98,-0.93,-0.49,0.88,0.00, unclassified
2343,8.5,4.6,-0.6,0.10,0.93,-0.93,-0.49,0.88,0.00, unclassified
2357,8.5,4.8,-0.2,0.10,0.98,-0.93,-0.44,0.98,-0.10, unclassified
2369,8.6,5.0,0.1,0.10,0.88,-0.93,-0.49,0.93,-0.05, unclassified
2381,8.6,5.1,0.3,0.15,0.88,-0.98,-0.44,0.98,-0.05, unclassified
2394,8.6,5.0,0.5,0.05,0.93,-0.83,-0.44,0.93,-0.05, unclassified
2406,8.4,5.0,0.7,0.05,0.93,-0.88,-0.49,0.88,-0.10, unclassified
2419,8.3,5.0,0.7,0.10,0.93,-0.88,-0.44,0.93,-0.05, unclassified
2432,8.3,5.0,0.7,0.10,0.93,-0.93,-0.49,0.93,-0.10, unclassified
2444,8.6,5.0,0.4,0.10,0.88,-0.93,-0.49,0.93,0.00, unclassified
2456,8.6,5.1,0.3,0.05,0.93,-0.93,-0.44,0.88,-0.05, unclassified
