timestamp,gyroX,gyroY,gyroZ,Accel_1_X,Accel_1_Y,Accel_1_Z,Accel_2_X,Accel_2_Y,Accel_2_Z,classification
90641,-7.0,1.3,1.7,0.2,0.05,0.69,0.93,0.59,-0.15, stab-hit
90654,-6.5,1.9,2.2,0.15,0.2,0.69,0.93,0.64,-0.1, stab-hit
90668,-6.7,3.3,1.9,0.2,0.29,0.69,0.88,0.54,-0.1, stab-hit
90681,-6.3,2.6,1.3,0.15,0.39,0.64,0.83,0.54,0.0, stab-hit
90694,-5.9,2.5,0.9,0.2,0.24,0.64,0.88,0.59,-0.1, stab-hit
90706,-6.0,2.1,0.7,0.1,0.24,0.78,0.93,0.59,-0.05, stab-hit
90720,-6.5,2.7,0.8,0.1,0.24,0.78,0.98,0.49,-0.1, stab-hit
90733,-6.5,2.6,0.5,0.1,0.24,0.78,0.98,0.64,0.05, stab-hit
90745,-6.8,2.8,-0.5,0.1,0.24,0.88,0.98,0.64,0.0, stab-hit
90758,-7.1,2.4,-0.8,0.05,0.2,0.93,1.03,0.64,0.05, stab-hit
90771,-7.7,2.6,-0.5,0.05,0.24,1.03,1.23,0.64,-0.05, stab-hit
90784,-8.5,3.2,-0.2,0.1,0.29,1.08,1.23,0.54,-0.05, stab-hit
90797,-9.6,3.0,0.1,0.1,0.29,0.98,1.27,0.59,0.0, stab-hit
90809,-9.6,3.0,-0.0,0.05,0.39,0.98,1.18,0.64,0.0, stab-hit
90821,-9.5,2.9,-0.5,0.05,0.34,0.93,1.08,0.64,0.0, stab-hit
90834,-8.5,3.0,-0.7,0.0,0.29,0.83,1.03,0.83,0.05, stab-hit
90847,-7.9,3.6,-0.6,-0.05,0.15,0.88,0.93,1.08,0.05, stab-hit
90859,-7.0,6.5,-0.2,-0.15,-0.05,0.44,0.78,1.42,0.0, stab-hit
90872,-5.8,9.0,0.4,-0.2,-0.15,0.2,0.44,1.47,0.05, stab-hit
90885,-2.1,11.7,0.5,-0.2,-0.29,0.1,0.39,1.62,0.1, stab-hit
90897,-1.1,12.1,0.1,-0.24,-0.54,0.0,0.29,1.81,0.15, stab-hit
