timestamp,gyroX,gyroY,gyroZ,Accel_1_X,Accel_1_Y,Accel_1_Z,Accel_2_X,Accel_2_Y,Accel_2_Z,classification
C7,2.7,11.5,2.4,0.39,2.25,-0.54,0.05,1.57,-0.05, unclassified
20,2.4,11.6,2.0,0.44,2.30,-0.54,0.10,1.57,-0.05, unclassified
32,1.8,11.8,1.7,0.34,2.25,-0.59,0.15,1.57,-0.10, unclassified
46,1.4,11.7,1.8,0.39,2.25,-0.54,0.15,1.57,-0.05, unclassified
59,1.1,11.5,1.9,0.34,2.25,-0.49,0.24,1.62,-0.15, unclassified
71,0.2,11.4,2.3,0.44,2.16,-0.44,0.29,1.62,-0.05, unclassified
84,-0.0,11.4,2.1,0.44,2.06,-0.49,0.34,1.62,-0.10, unclassified
98,-0.5,11.7,2.1,0.54,2.01,-0.49,0.44,1.62,-0.05, unclassified
110,-1.4,11.8,1.6,0.54,1.96,-0.49,0.49,1.57,-0.05, unclassified
122,-1.8,11.6,1.4,0.59,1.86,-0.29,0.54,1.52,0.00, unclassified
136,-2.1,11.3,1.4,0.44,1.76,-0.34,0.54,1.62,0.00, unclassified
149,-2.8,10.9,1.6,0.44,1.76,-0.34,0.59,1.57,-0.05, unclassified
161,-3.4,10.9,1.7,0.49,1.67,-0.29,0.64,1.52,-0.10, unclassified
174,-3.7,11.3,1.8,0.34,1.67,-0.29,0.73,1.42,-0.10, unclassified
187,-4.2,11.3,1.9,0.44,1.42,-0.20,0.78,1.42,-0.10, unclassified
199,-4.5,10.9,1.7,0.39,1.37,-0.15,0.83,1.52,-0.05, unclassified
211,-4.9,10.3,1.3,0.39,1.37,-0.10,0.78,1.52,-0.05, unclassified
225,-5.2,10.1,1.5,0.34,1.23,-0.10,0.88,1.47,-0.10, unclassified
237,-5.6,10.1,1.7,0.29,1.18,-0.10,0.88,1.27,-0.05, unclassified
249,-5.6,10.5,1.6,0.44,1.08,0.00,0.78,1.27,0.00, unclassified
262,-5.6,10.2,1.2,0.39,0.98,0.00,0.88,1.27,0.00, unclassified
275,-5.5,9.8,0.7,0.44,0.93,0.05,0.88,1.32,0.00, unclassified
287,-5.9,9.1,0.3,0.39,0.78,0.10,0.88,1.27,0.00, unclassified
300,-6.1,9.2,0.4,0.44,0.83,0.10,0.88,1.23,0.00, unclassified
312,-6.0,8.8,0.2,0.39,0.78,0.05,0.88,1.18,0.00, unclassified
324,-5.6,7.6,-0.3,0.34,0.78,0.05,0.73,1.08,-0.15, unclassified
336,-5.2,7.4,-0.2,0.24,0.83,0.10,0.78,1.08,0.00, unclassified
350,-5.0,7.2,0.2,0.29,0.83,0.15,0.78,1.03,-0.05, unclassified
362,-5.4,7.5,0.6,0.15,0.54,0.20,0.78,0.88,-0.15, unclassified
374,-5.5,7.6,1.0,0.20,-0.54,0.24,0.78,1.03,-0.10, unclassified
387,-5.4,7.2,1.3,0.20,0.34,0.24,0.88,0.93,0.00, unclassified
399,-5.4,5.7,0.6,0.15,0.44,0.29,0.83,0.93,0.05, unclassified
411,-5.6,5.7,0.4,0.20,0.39,0.34,0.88,0.88,0.00, unclassified
424,-5.7,5.3,0.2,0.20,0.29,0.34,0.83,0.88,0.00, unclassified
437,-5.8,5.0,0.0,0.15,0.34,0.44,0.93,0.88,-0.05, unclassified
449,-6.1,5.1,-0.6,0.15,0.29,0.49,0.93,0.93,0.00, unclassified
461,-7.2,5.0,0.1,0.15,0.29,0.59,0.98,0.98,0.05, unclassified
474,-7.0,5.3,0.1,0.15,0.24,0.54,0.88,0.73,0.00, unclassified
486,-6.8,5.8,0.0,0.10,0.34,0.54,0.88,0.78,0.00, unclassified
499,-6.2,4.3,-0.1,0.10,0.44,0.54,0.88,0.73,0.00, unclassified
512,-6.2,3.3,-0.3,0.05,0.39,0.64,0.83,0.78,0.00, unclassified
524,-6.3,2.5,-0.3,0.05,0.44,0.64,0.88,0.78,-0.15, unclassified
536,-6.5,3.2,0.6,0.00,0.34,0.69,0.93,0.78,-0.15, unclassified
548,-6.9,4.3,1.2,0.05,0.29,0.73,0.98,0.73,-0.20, unclassified
561,-7.2,4.9,1.5,0.05,0.39,0.73,0.93,0.69,-0.10, unclassified
574,-7.2,5.1,1.4,0.05,0.39,0.69,0.98,0.59,-0.05, unclassified
586,-6.9,4.4,1.3,0.05,0.49,0.69,0.88,0.59,-0.05, unclassified
599,-6.5,2.3,0.7,0.00,0.39,0.73,0.88,0.64,-0.10, unclassified
611,-6.4,2.4,1.0,-0.10,0.39,0.73,0.93,0.69,-0.15, unclassified
623,-6.4,3.0,1.4,0.00,0.39,0.78,0.88,0.64,0.05, unclassified
635,-6.6,3.4,1.3,0.05,0.44,0.78,0.93,0.69,-0.05, unclassified
649,-7.0,1.8,0.0,0.00,0.44,0.83,1.03,0.64,0.00, unclassified
661,-7.3,2.1,0.3,0.00,0.49,0.88,1.03,0.59,-0.05, unclassified
673,-7.6,2.8,0.7,0.05,0.49,0.93,1.08,0.59,0.00, unclassified
686,-7.6,2.8,0.6,0.00,0.49,0.83,0.93,0.59,-0.05, unclassified
698,-7.3,3.4,1.1,0.05,0.49,0.88,0.93,0.54,-0.05, unclassified
710,-7.2,3.7,0.9,0.00,0.69,0.88,0.93,0.54,0.00, unclassified
723,-7.1,3.1,0.5,0.00,0.64,0.88,0.98,0.73,-0.05, unclassified
736,-7.1,2.5,0.2,0.05,0.64,0.88,1.08,0.64,-0.05, unclassified
748,-7.8,2.9,0.3,0.00,0.73,0.93,1.03,0.64,-0.10, unclassified
760,-8.0,3.1,0.2,0.00,0.69,0.93,1.03,0.59,-0.05, unclassified
773,-7.8,3.0,0.3,0.05,0.64,0.93,1.08,0.64,-0.05, unclassified
785,-7.8,3.2,0.6,0.05,0.69,1.08,1.13,0.73,-0.05, unclassified
798,-8.5,4.2,0.8,0.00,0.73,1.03,1.23,0.83,-0.10, unclassified
811,-9.1,5.3,1.0,0.00,0.64,1.08,1.27,0.88,-0.05, unclassified
823,-9.5,6.0,0.9,0.05,0.73,1.23,1.27,0.93,0.00, unclassified
835,-9.8,6.2,0.4,0.10,0.83,1.13,1.23,0.83,0.10, unclassified
847,-9.8,4.4,-1.3,0.15,0.83,1.13,1.23,0.83,0.10, unclassified
861,-9.7,4.0,-1.6,0.15,0.88,1.13,1.23,0.78,0.10, unclassified
873,-9.5,3.9,-1.8,0.15,0.83,1.08,1.27,0.83,0.05, unclassified
885,-9.5,5.0,-1.6,0.10,0.83,1.13,1.32,0.73,0.10, unclassified
898,-10.0,5.3,-1.6,0.10,0.83,1.27,1.32,0.78,0.05, unclassified
910,-10.2,4.9,-1.6,0.15,0.88,1.27,1.37,0.88,0.15, unclassified
923,-10.8,5.0,-2.0,0.05,0.88,1.27,1.47,0.88,0.20, unclassified
935,-11.0,5.3,-2.3,0.15,0.93,1.27,1.47,0.88,0.24, unclassified
948,-10.8,5.3,-3.4,0.20,0.93,1.23,1.32,0.78,0.29, unclassified
960,-10.7,4.5,-3.7,0.10,0.98,1.18,1.37,0.73,0.20, unclassified
973,-10.5,3.8,-3.7,0.05,1.03,1.23,1.32,0.54,0.15, unclassified
986,-10.3,3.7,-3.3,-0.05,0.93,1.27,1.37,0.54,0.20, unclassified
998,-10.4,3.6,-2.9,0.10,0.83,1.27,1.37,0.59,0.20, unclassified
1010,-10.6,3.6,-3.0,0.20,0.83,1.27,1.37,0.64,0.24, unclassified
1024,-10.7,2.9,-4.0,0.20,0.88,1.23,1.32,0.44,0.29, unclassified
1036,-10.5,2.2,-4.3,0.20,0.83,1.23,1.32,0.39,0.34, unclassified
1048,-10.2,1.5,-4.5,0.20,0.78,1.18,1.27,0.44,0.34, unclassified
1062,-9.9,0.8,-4.3,0.20,0.73,1.13,1.23,0.29,0.29, unclassified
1075,-9.6,0.5,-4.1,0.15,0.59,1.08,1.23,0.29,0.20, unclassified
1087,-9.5,0.4,-3.2,0.20,0.69,1.03,1.27,0.29,0.15, unclassified
1099,-9.6,0.4,-2.8,0.15,0.49,1.08,1.23,0.29,0.05, unclassified
1114,-9.6,0.5,-2.3,0.20,0.39,1.08,1.18,0.34,0.05, unclassified
1126,-9.5,0.6,-2.0,0.10,0.44,1.03,1.13,0.34,0.05, unclassified
1138,-9.1,0.4,-1.5,0.15,0.39,0.98,1.23,0.44,0.05, unclassified
1152,-9.1,0.7,-1.4,0.10,0.44,0.98,1.18,0.24,0.05, unclassified
1165,-9.1,0.8,-1.7,0.05,0.44,0.98,1.18,0.24,0.00, unclassified
1178,-9.0,-0.9,-1.3,-0.05,0.39,1.03,1.18,0.39,-0.05, unclassified
1190,-9.0,-0.9,-0.7,0.00,0.39,1.03,1.13,0.29,-0.05, unclassified
1204,-9.3,0.7,-0.4,-0.10,0.24,1.08,1.13,0.29,0.00, unclassified
1217,-9.3,0.6,-0.4,-0.05,0.15,1.03,1.23,0.24,0.05, unclassified
1229,-9.2,0.3,-0.8,-0.05,0.10,1.08,1.18,0.44,0.10, unclassified
1243,-9.3,0.4,-1.4,-0.10,0.15,1.08,1.13,0.34,0.00, unclassified
1256,-9.2,0.2,-1.9,-0.20,0.20,1.03,1.13,0.24,0.05, unclassified
1268,-8.8,-0.8,-0.9,-0.24,0.24,0.98,1.08,0.20,-0.05, unclassified
1282,-8.7,-1.7,-0.4,-0.24,0.29,0.98,0.98,0.15,0.00, unclassified
1295,-8.1,-1.0,0.3,-0.24,0.20,1.08,1.13,0.10,0.05, unclassified
1307,-8.6,-0.1,-1.2,-0.20,0.24,1.03,1.08,0.15,0.05, unclassified
1319,-8.4,-0.8,-1.7,-0.15,0.24,0.98,1.13,0.20,0.05, unclassified
1332,-8.2,-1.4,-1.9,-0.15,0.24,0.98,1.08,0.15,0.10, unclassified
1346,-8.2,-1.1,-2.4,-0.20,0.24,1.03,1.08,0.10,0.15, unclassified
1358,-8.3,-1.4,-2.4,-0.24,790.52,1.03,1.13,0.10,0.10, unclassified
1371,-8.5,-1.3,-2.1,-0.20,0.20,1.08,1.08,0.15,0.10, unclassified
1383,-8.5,-1.2,-2.2,-0.20,0.29,1.13,1.13,0.20,0.10, unclassified
1396,-8.7,-1.0,-2.2,-0.15,0.29,1.13,1.13,0.20,0.15, unclassified
1409,-8.8,-0.4,-2.7,-0.10,0.15,1.13,1.18,0.24,0.15, unclassified
1421,-8.8,-0.4,-2.6,-0.15,0.24,1.08,1.23,0.15,0.15, unclassified
1434,-8.9,-0.5,-2.6,-0.10,0.24,1.03,1.18,0.15,0.15, unclassified
1446,-9.1,-1.3,-2.8,-0.05,0.24,1.03,1.18,0.15,0.15, unclassified
1459,-9.0,-1.6,-2.7,-0.05,0.29,1.03,1.13,0.10,0.15, unclassified
1471,-8.9,-1.7,-2.7,-0.05,0.29,1.03,1.18,0.10,0.10, unclassified
1484,-8.8,-1.5,-2.7,-0.15,0.29,1.13,1.13,0.15,0.10, unclassified
1497,-8.8,-1.0,-2.5,-0.10,0.24,0.98,1.08,0.20,0.10, unclassified
1509,-8.7,-0.7,-2.1,-0.15,0.29,1.03,1.08,0.20,0.05, unclassified
1521,-8.8,-0.5,-2.2,-0.05,0.24,1.03,1.18,0.15,0.20, unclassified
1534,-8.8,-0.5,-2.5,-0.05,0.29,1.03,1.18,0.20,0.24, unclassified
1547,-8.9,-1.5,-3.4,-0.10,0.39,1.08,1.13,0.20,0.20, unclassified
1559,-9.0,-1.6,-3.4,-0.05,0.34,1.03,1.18,0.20,0.29, unclassified
1572,-9.0,-1.6,-3.3,-0.10,0.29,1.03,1.13,0.10,0.15, unclassified
1585,-8.9,-1.3,-2.7,-0.05,0.29,1.08,1.13,0.10,0.10, unclassified
1597,-8.8,-1.0,-2.5,-0.10,0.34,1.08,1.13,0.10,0.15, unclassified
1611,-8.8,-1.1,-2.5,-0.10,0.29,1.03,1.13,0.15,0.15, unclassified
1624,-8.8,-1.0,-2.6,-0.15,0.29,1.03,1.23,0.24,0.24, unclassified
1636,-9.0,-0.9,-2.9,-0.10,0.29,1.03,1.18,0.20,0.20, unclassified
1648,-9.1,-1.0,-3.1,-0.15,0.34,1.08,1.18,0.15,0.24, unclassified
1662,-9.1,-1.6,-3.3,-0.05,0.34,1.13,1.13,0.20,0.15, unclassified
1675,-9.0,-1.7,-3.1,-0.10,0.34,1.13,1.23,0.15,0.10, unclassified
1687,-9.3,-0.8,-2.4,-0.05,0.29,1.13,1.18,0.15,0.15, unclassified
1701,-9.4,-0.8,-2.3,-0.10,0.29,1.13,1.18,0.15,0.05, unclassified
1715,-9.3,-1.0,-2.2,-0.05,0.24,1.03,1.23,0.15,0.10, unclassified
1727,-9.5,-0.9,-2.5,-0.05,0.29,1.08,1.23,0.20,0.15, unclassified
1740,-9.5,-0.7,-2.6,-0.10,0.29,1.13,1.18,0.15,0.15, unclassified
1754,-9.5,-0.6,-2.7,-0.05,0.34,1.08,1.18,0.15,0.15, unclassified
1767,-9.2,-1.4,-3.0,-0.05,0.34,1.08,1.18,0.15,0.15, unclassified
1779,-9.2,-1.5,-2.9,0.00,0.39,1.13,1.18,0.10,0.05, unclassified
1793,-9.3,-1.4,-2.8,-0.10,0.39,1.08,1.23,0.15,0.10, unclassified
1805,-9.3,-1.4,-2.4,-0.10,0.34,1.13,1.18,0.15,0.10, unclassified
1818,-9.2,-1.3,-2.3,0.00,0.34,1.08,1.23,0.10,0.10, unclassified
1830,-9.3,-0.9,-2.5,0.00,0.34,1.08,1.13,0.20,0.15, unclassified
1844,-9.2,-1.0,-2.7,0.00,0.34,1.03,1.18,0.20,0.20, unclassified
1856,-9.1,-1.1,-3.0,0.00,0.44,1.08,1.18,0.10,0.20, unclassified
1869,-9.0,-1.5,-3.1,-0.05,0.39,1.13,1.18,0.15,0.15, unclassified
1882,-9.0,-1.5,-3.0,-0.05,0.34,1.03,1.18,0.10,0.05, unclassified
1895,-9.0,-1.3,-2.8,-0.05,0.34,1.08,1.13,0.15,0.10, unclassified
1907,-9.0,-1.4,-2.5,-0.10,0.39,0.98,1.13,0.10,0.10, unclassified
1920,-8.9,-1.5,-2.4,-0.15,0.29,0.98,1.13,0.10,0.15, unclassified
1932,-8.8,-1.4,-2.3,-0.10,0.34,1.03,1.13,0.15,0.10, unclassified
1945,-8.8,-1.2,-2.5,-0.10,0.29,1.08,1.13,0.20,0.10, unclassified
1957,-8.8,-1.3,-2.6,-0.10,0.29,1.03,1.18,0.20,0.10, unclassified
1970,-8.8,-1.6,-2.6,-0.20,0.34,1.13,1.18,0.15,0.10, unclassified
1982,-8.9,-1.5,-2.5,-0.15,0.29,1.08,1.18,0.15,0.10, unclassified
1995,-9.0,-1.0,-2.3,-0.10,0.24,1.08,1.13,0.15,0.10, unclassified
2008,-8.9,-1.0,-2.2,-0.10,0.20,1.08,1.08,0.15,0.20, unclassified
2020,-9.0,-1.0,-2.2,-0.10,0.20,1.13,1.18,0.15,0.20, unclassified
2032,-9.0,-0.9,-2.4,-0.10,0.24,1.03,1.13,0.15,0.20, unclassified
2045,-8.9,-1.3,-3.0,-0.10,0.20,1.08,1.13,0.15,0.20, unclassified
2058,-9.0,-1.4,-3.3,-0.10,0.24,1.03,1.13,0.15,0.15, unclassified
2070,-8.9,-1.6,-3.3,-0.24,0.20,1.18,1.13,0.15,0.15, unclassified
2082,-8.8,-1.3,-2.7,-0.20,0.20,1.18,1.13,0.10,0.15, unclassified
2096,-8.9,-1.0,-2.5,-0.20,0.29,1.08,1.18,0.15,0.15, unclassified
2108,-8.9,-1.0,-2.8,-0.10,0.15,1.08,1.13,0.20,0.15, unclassified
2120,-8.9,-1.0,-3.0,-0.15,0.15,1.08,1.18,0.20,0.24, unclassified
2134,-8.9,-0.9,-3.2,-0.15,0.20,1.08,1.18,0.20,0.24, unclassified
2146,-9.1,-0.8,-3.8,-0.10,0.15,1.03,1.13,0.24,0.24, unclassified
2159,-9.0,-0.9,-3.9,-0.10,0.20,1.03,1.13,0.20,0.20, unclassified
2172,-9.0,-0.9,-3.8,-0.15,0.20,0.93,1.13,0.15,0.20, unclassified
2185,-8.5,-0.6,-3.6,-0.15,0.20,0.98,1.08,0.20,0.20, unclassified
2197,-8.4,-0.6,-3.5,-0.05,0.15,0.98,1.08,0.20,0.24, unclassified
2210,-8.3,-0.4,-3.6,-0.05,0.10,0.88,1.08,0.29,0.24, unclassified
2224,-8.1,0.0,-3.9,-0.10,0.20,0.93,1.08,0.29,0.24, unclassified
2236,-7.8,-0.1,-4.1,-0.05,0.20,0.93,0.93,0.24,0.34, unclassified
2249,-7.4,-0.5,-4.0,-0.10,0.24,0.78,0.93,0.20,0.15, unclassified
2264,-7.2,-0.7,-3.7,-0.10,0.24,0.83,0.93,0.20,0.20, unclassified
2276,-6.8,-0.9,-3.1,0.00,0.20,0.83,0.93,0.15,0.15, unclassified
