timestamp,gyroX,gyroY,gyroZ,Accel_1_X,Accel_1_Y,Accel_1_Z,Accel_2_X,Accel_2_Y,Accel_2_Z,classification
105647,-9.4,-3.2,-1.0,-0.64,0.73,1.03,1.13,-0.1,-0.1, high-cross
105660,-9.5,-4.0,0.0,-0.73,0.88,0.98,1.08,-0.1,-0.29, high-cross
105672,-9.4,-3.9,1.1,-0.78,0.83,0.98,1.18,0.05,-0.1, high-cross
105686,-10.0,-5.0,0.9,-0.78,0.78,1.13,1.23,-0.15,-0.34, high-cross
105698,-10.8,-5.5,1.2,-0.78,0.69,0.98,1.23,-0.15,-0.59, high-cross
105711,-10.8,-5.4,2.7,-0.83,0.69,0.93,1.18,-0.29,-0.78, high-cross
105724,-10.5,-5.5,4.4,-0.83,0.54,0.64,1.03,-0.54,-1.37, high-cross
105737,-9.9,-9.0,10.0,-0.59,0.34,0.59,1.23,-0.49,-1.42, high-cross
105751,-10.0,-9.2,12.1,-0.29,0.05,0.44,1.13,-0.59,-1.67, high-cross
105764,-10.8,-7.9,12.6,0.1,-0.64,0.54,1.47,-0.44,-1.86, high-cross
105777,-12.8,-6.4,15.2,1.42,-1.71,0.44,1.32,-0.69,-2.06, high-cross
105791,-13.6,-11.0,15.7,2.16,-2.21,0.34,1.37,-0.93,-2.21, high-cross
105804,-12.5,-12.7,16.7,2.99,-2.65,0.29,1.03,-1.32,-2.16, high-cross
105817,-10.1,-17.1,17.9,3.72,-3.43,0.05,0.69,-1.23,-2.06, high-cross
105830,-8.5,-17.0,17.4,5.29,-3.53,-0.34,0.24,-1.32,-2.01, high-cross
105843,-2.7,-17.7,16.0,5.83,-3.72,-0.69,-0.69,-1.27,-2.06, high-cross
105857,5.4,-17.6,17.3,6.27,-3.92,-1.08,-1.03,-0.98,-1.96, high-cross
105869,9.0,-16.7,17.2,7.2,-4.7,-1.76,-1.32,-0.69,-1.96, high-cross
105882,14.7,-12.8,17.3,7.74,-5.29,-2.25,-1.52,-0.24,-1.71, high-cross
105894,19.1,-7.4,15.1,8.13,-5.83,-2.84,-1.86,0.83,-1.23, high-cross
105908,22.0,2.4,13.0,8.77,-6.22,-3.53,-1.67,1.62,-0.78, high-cross
105920,22.0,7.7,10.1,9.65,-6.81,-5.88,-1.57,2.25,-0.24, high-cross
