timestamp,gyroX,gyroY,gyroZ,Accel_1_X,Accel_1_Y,Accel_1_Z,Accel_2_X,Accel_2_Y,Accel_2_Z,classification
106717,-5.9,-3.2,7.7,1.27,0.54,0.64,0.78,0.05,-0.98, high-cross
106730,-5.8,-3.6,8.0,0.98,0.39,0.69,0.73,0.05,-1.08, high-cross
106742,-5.5,-4.1,9.2,0.98,0.44,0.64,0.73,0.0,-1.13, high-cross
106756,-5.7,-4.1,10.0,0.88,0.39,0.69,0.78,0.05,-1.23, high-cross
106768,-5.8,-4.0,10.3,0.73,0.39,0.69,0.78,0.1,-1.18, high-cross
106780,-6.0,-3.6,10.7,0.69,0.49,0.73,0.78,0.0,-1.27, high-cross
106793,-6.2,-3.5,10.6,0.44,0.64,0.54,0.69,0.0,-1.32, high-cross
106807,-6.0,-3.9,11.0,0.34,0.73,0.59,0.69,-0.05,-1.47, high-cross
106819,-5.6,-4.9,11.6,0.29,0.78,0.59,0.64,-0.1,-1.71, high-cross
106832,-5.5,-6.1,14.1,0.05,0.98,0.59,0.64,-0.34,-1.81, high-cross
106845,-5.8,-7.3,14.5,0.05,1.03,0.49,0.64,-0.44,-1.86, high-cross
106859,-5.9,-9.0,15.9,0.0,1.18,0.34,0.49,-0.64,-2.3, high-cross
106871,-4.9,-11.6,18.1,-0.05,1.23,0.0,0.1,-0.93,-2.79, high-cross
106885,-3.4,-14.2,20.0,0.05,0.78,-0.73,-0.05,-1.03,-3.14, high-cross
106898,0.1,-14.4,27.1,0.88,0.1,-1.32,-0.39,-0.93,-3.23, high-cross
106911,1.4,-10.4,29.9,1.96,-0.64,-1.71,-0.78,-0.54,-2.6, high-cross
106925,8.7,-13.9,24.6,3.33,-2.89,-2.21,-0.98,-0.39,-2.45, high-cross
106938,10.9,-12.3,20.5,5.83,-3.92,-2.6,-1.52,-0.49,-2.11, high-cross
106951,18.1,-7.2,18.8,6.96,-5.15,-2.89,-2.35,0.49,-1.18, high-cross
106963,26.1,-5.6,10.1,7.59,-6.37,-3.14,-2.79,1.13,-1.13, high-cross
106977,29.6,0.5,10.2,8.13,-8.53,-4.12,-3.09,2.01,-1.03, high-cross
106990,33.1,6.0,10.4,8.13,-9.36,-4.75,-2.84,4.02,-1.13, high-cross
107003,34.7,30.3,13.9,8.09,-9.9,-5.83,-2.35,5.0,-1.03, high-cross
107016,31.1,38.4,13.7,8.04,-10.34,-9.8,-1.52,5.88,-0.73, high-cross
107029,26.5,39.7,13.6,8.62,-9.75,-13.08,-0.64,6.37,1.27, high-cross
107041,5.6,39.7,-1.8,8.82,-8.62,-17.0,1.62,6.08,2.74, high-cross
107055,-3.0,39.7,-11.6,9.21,-7.2,-21.31,2.89,5.49,4.26, high-cross
107068,-19.5,39.7,-34.4,9.41,-3.33,-29.89,4.17,4.26,5.44, high-cross
107080,-27.9,39.7,-39.1,7.94,-1.27,-33.52,6.13,1.52,6.22, high-cross
107094,-39.2,28.1,-39.1,6.57,0.1,-36.9,6.66,0.93,6.32, high-cross
107108,-39.2,14.8,-39.1,5.05,1.42,-40.43,6.66,0.49,5.63, high-cross
107120,-39.2,8.5,-39.1,-0.29,3.63,-46.01,4.21,-0.2,1.27, high-cross
107133,-33.2,-4.5,-37.2,-2.89,4.41,-47.19,1.76,-0.34,-0.78, high-cross
107147,-17.4,0.7,-25.6,-6.47,4.51,-46.7,-1.18,1.27,-2.84, high-cross
107161,-2.1,9.5,-9.5,-20.09,70.22,-5.88,13.28,49.69,10.98, high-cross
107173,-23.9,-13.5,-5.7,-6.17,-25.14,-13.67,0.05,15.29,16.41, high-cross
107188,3.4,-1.2,-12.8,15.48,-56.89,-3.97,0.39,-9.75,-4.8, high-cross
107201,-19.5,10.2,-7.2,13.43,4.21,-7.74,-5.59,11.86,-2.25, high-cross
107213,23.2,10.7,-5.1,-5.44,9.21,-6.96,-4.9,7.64,1.47, high-cross
107227,39.3,8.2,1.5,-5.15,-4.12,-4.7,-1.81,0.69,5.1, high-cross
107240,39.0,8.1,0.8,3.53,-0.73,-3.87,-0.83,1.08,6.08, high-cross
107252,25.7,12.6,-18.8,8.92,3.48,-2.01,-0.83,2.55,3.82, high-cross
107266,20.9,17.0,-24.7,-0.1,3.38,-1.57,-0.69,3.04,3.23, high-cross
107278,13.6,10.8,-30.4,-0.98,4.02,-1.76,-0.24,0.0,3.92, high-cross
107291,8.8,-0.3,-29.1,1.27,5.24,-2.45,-0.39,-0.98,3.09, high-cross
107303,9.4,-4.7,-26.0,2.16,5.15,-3.28,-0.34,-1.27,1.32, high-cross
107317,6.4,-23.7,-15.1,-2.11,4.07,-3.72,-0.34,-1.27,-0.44, high-cross
107330,2.0,-31.0,-8.9,-2.3,3.38,-4.41,-0.34,-0.93,-2.16, high-cross
107342,-5.0,-19.5,7.6,-1.08,2.99,-5.34,-0.64,-0.34,-2.84, high-cross
107357,-3.6,-12.0,14.3,-0.44,0.29,-5.78,-0.49,0.29,-3.43, high-cross
107369,-0.9,-3.1,21.4,-0.24,-0.78,-4.8,1.91,0.34,-4.07, high-cross
107382,-20.1,16.0,37.3,0.49,-1.08,-4.36,2.45,0.69,-3.58, high-cross
107396,-24.0,19.1,36.3,1.47,-2.01,-4.41,2.55,1.32,-2.79, high-cross
107410,-24.4,16.1,31.9,3.04,-2.11,-4.26,2.01,0.64,-1.13, high-cross
107422,-18.2,-2.7,9.3,3.58,-1.76,-3.87,1.86,0.0,-0.93, high-cross
107437,-16.5,-2.5,7.4,4.02,-1.62,-2.99,1.67,-0.1,-0.34, high-cross
107450,-15.7,0.0,5.4,4.7,-2.3,-2.3,1.67,-0.1,-0.2, high-cross
107462,-12.0,-5.4,-1.5,4.7,-2.3,-1.76,1.47,-0.05,-0.15, high-cross
107474,-12.4,-2.1,0.0,4.51,-2.06,-1.32,1.37,-0.05,-0.1, high-cross
107489,-10.0,-6.4,-0.4,4.51,-1.62,-0.83,0.73,-0.83,-0.24, high-cross
107501,-6.1,-8.6,-1.7,4.31,-1.13,-0.83,0.44,-1.08,-0.24, high-cross
107514,-4.1,-11.3,-0.9,3.92,-0.98,-0.64,0.29,-1.03,-0.49, high-cross
107527,-0.9,-15.3,0.5,3.58,-0.98,-0.44,0.34,-0.73,-0.73, high-cross
107540,-1.2,-12.4,4.0,3.23,-1.27,0.1,0.64,-0.54,-0.88, high-cross
