timestamp,gyroX,gyroY,gyroZ,Accel_1_X,Accel_1_Y,Accel_1_Z,Accel_2_X,Accel_2_Y,Accel_2_Z,classification
94301,-3.5,9.4,1.2,0.39,1.37,0.44,0.59,1.37,-0.05, stab-hit
94314,-3.4,9.9,1.5,0.44,1.47,0.29,0.54,1.42,0.0, stab-hit
94326,-2.9,9.8,0.6,0.49,1.57,0.29,0.54,1.32,0.05, stab-hit
94340,-2.6,9.4,0.2,0.54,1.52,0.29,0.49,1.32,0.1, stab-hit
94352,-2.3,9.1,-0.1,0.59,1.57,0.24,0.49,1.32,0.05, stab-hit
94365,-1.8,9.4,-0.7,0.44,1.52,0.2,0.44,1.32,0.05, stab-hit
94377,-1.6,9.4,-0.6,0.49,1.52,0.2,0.39,1.32,0.05, stab-hit
94391,-1.0,9.6,-0.3,0.39,1.47,0.2,0.34,1.42,0.05, stab-hit
94403,-1.0,9.9,-0.3,0.44,1.47,0.24,0.39,1.32,0.1, stab-hit
94416,-0.8,9.5,-0.5,0.39,1.32,0.15,0.34,1.37,0.05, stab-hit
94430,-0.8,9.3,-0.7,0.39,1.23,0.15,0.39,1.27,0.05, stab-hit
94443,-0.7,9.2,-0.7,0.29,1.13,0.2,0.39,1.27,0.05, stab-hit
94455,-1.7,8.8,0.4,0.24,0.98,0.44,0.54,1.18,-0.15, stab-hit
94469,-2.5,8.8,1.3,0.1,0.69,0.54,0.78,1.13,-0.29, stab-hit
94483,-3.5,8.8,2.4,0.05,0.64,0.78,0.93,0.93,-0.29, stab-hit
94495,-8.3,6.4,2.7,0.05,0.44,1.37,1.57,0.88,-0.15, stab-hit
94508,-12.9,5.9,2.3,0.1,0.1,3.14,3.33,0.59,0.15, stab-hit
94522,-19.1,4.4,0.5,0.15,0.05,3.87,4.12,0.44,0.1, stab-hit
94534,-38.1,-1.0,-3.0,0.1,0.1,4.17,4.31,0.05,0.05, stab-hit
94546,-39.1,-1.1,-3.0,0.15,0.44,4.31,4.85,-0.15,0.24, stab-hit
94560,-39.1,-2.2,-4.7,0.05,0.39,5.19,5.39,0.0,0.05, stab-hit
94573,-39.1,-5.9,-5.8,-0.05,0.44,5.34,5.54,0.24,-0.24, stab-hit
94585,-39.1,0.7,0.4,-0.05,0.78,5.1,4.9,0.83,-0.73, stab-hit
94599,-39.1,8.2,6.7,0.1,1.71,4.61,4.26,1.13,-0.73, stab-hit
94611,-39.1,7.9,6.5,0.29,3.14,3.19,3.58,1.37,-0.83, stab-hit
94624,-34.2,9.2,7.5,0.34,3.14,2.6,2.94,1.62,-0.88, stab-hit
94637,-24.1,13.4,8.7,0.34,2.5,2.21,2.16,1.91,-1.08, stab-hit
94650,-20.7,14.6,9.3,0.49,1.76,1.81,1.81,1.81,-0.83, stab-hit
94662,-19.1,17.1,10.7,1.03,1.86,1.03,1.47,1.18,-0.29, stab-hit
94674,-10.9,9.8,2.2,0.78,1.67,0.49,0.93,1.62,0.1, stab-hit
94688,-6.4,7.0,-0.7,0.44,1.62,0.15,-0.15,2.01,0.2, stab-hit
94701,-3.5,11.2,-0.8,0.2,1.91,-1.32,-2.06,2.7,0.98, stab-hit
94713,8.6,17.0,-2.1,-0.44,2.4,-6.91,-5.0,3.72,1.03, stab-hit
94726,39.3,20.9,-8.2,3.58,4.26,-24.35,-37.0,1.86,1.32, stab-hit
94740,39.3,20.4,9.8,1.47,0.24,-20.19,-8.48,-8.09,-5.78, stab-hit
94753,39.3,1.1,-1.3,-0.44,0.98,4.75,-0.15,-2.65,-8.72, stab-hit
94766,-37.5,-18.4,39.4,2.99,0.1,-8.43,-7.55,7.99,4.26, stab-hit
94779,39.3,38.9,-19.1,2.84,-0.64,-3.72,-1.81,6.81,4.02, stab-hit
94793,39.0,39.7,-39.0,3.19,-1.18,-2.74,-2.4,3.82,4.51, stab-hit
94806,39.0,27.3,-36.2,1.03,2.74,-3.92,-3.09,2.06,2.25, stab-hit
94820,38.2,11.5,-28.3,0.44,2.84,-3.68,-2.99,2.25,0.83, stab-hit
94833,35.7,11.3,-20.6,-0.05,2.4,-3.23,-2.65,2.25,-0.39, stab-hit
94845,25.5,24.1,8.6,-0.78,1.86,-1.27,-0.93,3.14,-1.27, stab-hit
94859,18.4,29.3,14.7,-1.13,1.71,-0.34,-0.05,3.28,-1.08, stab-hit
94872,12.2,31.1,16.5,-0.69,1.81,0.15,0.39,3.23,-0.78, stab-hit
94885,-2.7,23.6,9.1,-0.34,2.11,0.44,0.88,2.45,-0.73, stab-hit
94898,-4.1,21.1,7.3,-0.24,2.4,0.78,0.98,2.21,-0.83, stab-hit
94910,-5.4,19.6,7.8,-0.34,2.25,0.98,1.13,2.3,-0.93, stab-hit
94923,-8.8,21.3,10.4,-0.34,2.11,1.47,1.57,2.45,-0.54, stab-hit
94936,-11.8,23.2,9.6,-0.29,2.16,1.91,2.35,2.4,-0.44, stab-hit
94949,-18.2,20.2,5.6,-0.44,2.35,2.5,2.6,1.91,-0.64, stab-hit
94961,-20.6,17.4,5.3,-0.34,2.45,2.65,2.74,1.47,-0.69, stab-hit
94974,-24.5,12.4,6.9,-0.24,2.6,2.5,2.65,0.73,-0.73, stab-hit
94988,-24.1,6.3,7.3,-0.29,2.6,2.5,2.5,0.59,-0.83, stab-hit
95000,-23.6,3.1,6.9,-0.15,2.65,2.16,2.3,0.39,-0.78, stab-hit
95013,-21.2,1.2,7.1,0.05,2.79,1.91,2.21,0.24,-0.05, stab-hit
95026,-18.5,-0.7,3.2,0.29,2.79,1.67,1.96,0.1,0.34, stab-hit
95039,-16.9,-1.7,-1.2,0.39,2.7,1.71,2.01,0.15,0.59, stab-hit
95052,-16.1,-1.9,-4.2,0.44,2.11,1.62,2.01,0.24,0.59, stab-hit
95065,-16.1,-0.9,-7.3,0.34,1.91,1.62,1.91,0.24,0.29, stab-hit
95079,-16.0,-0.5,-6.2,0.2,1.62,1.52,1.91,0.39,0.2, stab-hit
95092,-15.8,1.3,-3.4,0.1,1.47,1.42,1.86,0.59,0.15, unclassified
95105,-15.0,1.8,-2.4,0.1,1.27,1.67,2.11,0.98,0.0, unclassified
95119,-15.5,2.2,-1.6,0.05,1.47,1.67,2.11,0.93,0.0, unclassified
95132,-18.1,6.9,0.7,0.29,1.71,1.52,2.01,0.93,0.2, unclassified
95144,-17.0,6.5,-1.5,0.44,2.21,1.27,1.81,0.93,0.1, unclassified
95158,-14.5,6.4,-2.0,0.54,2.21,0.98,1.52,0.88,0.2, unclassified
95171,-14.0,6.4,-2.3,0.64,2.21,0.54,1.23,0.93,0.29, unclassified
95183,-9.2,6.5,-3.8,0.64,2.11,0.34,1.08,1.18,0.34, unclassified
95197,-7.7,6.2,-4.1,0.64,1.62,0.15,0.93,1.13,0.29, unclassified
95209,-7.1,6.6,-3.9,0.49,1.52,0.15,0.83,1.13,0.15, unclassified
95222,-6.5,6.7,-3.6,0.49,1.32,0.05,0.78,1.23,0.1, unclassified
95235,-5.2,8.6,-0.8,0.44,1.27,0.0,0.64,1.23,0.0, unclassified
95247,-4.5,9.0,-0.0,0.34,1.03,-0.05,0.64,1.27,0.0, unclassified
95260,-4.2,9.5,0.5,0.29,0.88,0.0,0.69,1.32,-0.05, unclassified
95272,-4.2,8.1,1.2,0.24,0.64,0.0,0.59,1.52,0.0, unclassified
95285,-3.5,10.6,1.6,0.2,0.64,0.0,0.39,1.23,0.05, unclassified
95298,-2.9,12.0,1.0,0.34,0.83,-0.05,0.49,1.13,0.1, unclassified
95310,-1.1,9.7,-0.7,0.29,0.93,0.1,0.59,1.18,0.0, unclassified
95323,-2.9,8.1,-0.2,0.2,1.03,0.15,0.64,1.08,0.05, unclassified
95335,-3.8,6.4,-0.8,0.15,1.03,0.24,0.73,1.13,0.05, unclassified
95348,-4.0,6.9,-0.5,0.15,0.93,0.24,0.69,1.13,0.05, unclassified
95361,-4.3,7.9,-0.3,0.2,0.69,0.34,0.78,1.23,0.0, unclassified
95373,-5.0,9.8,0.3,0.1,0.69,0.39,0.83,1.08,0.0, unclassified
95386,-5.3,9.4,0.3,0.15,0.64,0.39,0.88,1.13,0.0, unclassified
95398,-5.3,8.1,0.2,0.15,0.54,0.39,0.88,1.08,0.05, unclassified
95412,-5.7,7.9,-0.4,0.1,0.44,0.49,0.88,1.08,0.05, unclassified
95424,-5.9,6.4,-0.2,0.15,0.34,0.54,0.93,1.03,0.05, unclassified
95437,-5.7,6.5,-0.3,0.15,0.29,0.59,0.88,1.13,0.05, unclassified
