timestamp,gyroX,gyroY,gyroZ,Accel_1_X,Accel_1_Y,Accel_1_Z,Accel_2_X,Accel_2_Y,Accel_2_Z,classification
93101,-3.2,7.6,-0.7,0.64,1.52,0.15,0.59,1.03,0.0, stab-hit
93114,-2.8,7.9,-0.4,0.64,1.52,0.2,0.49,1.13,0.0, stab-hit
93127,-2.6,8.0,-0.0,0.69,1.42,0.15,0.49,1.08,-0.05, stab-hit
93139,-2.2,7.2,0.8,0.64,1.37,0.15,0.44,1.18,-0.1, stab-hit
93152,-2.1,7.5,1.3,0.64,1.37,0.1,0.34,1.27,-0.05, stab-hit
93165,-1.3,7.9,1.3,0.64,1.08,0.05,0.34,1.37,-0.05, stab-hit
93177,-0.8,8.3,1.2,0.59,1.03,0.05,0.39,1.32,-0.05, stab-hit
93191,-0.7,9.8,1.6,0.59,0.93,0.0,0.39,1.42,-0.05, stab-hit
93203,-0.4,10.0,1.3,0.54,0.83,0.15,0.24,1.37,-0.05, stab-hit
93215,-0.1,10.3,1.3,0.54,0.73,-0.1,0.15,1.42,0.0, stab-hit
93229,2.1,10.8,0.7,0.64,0.54,-0.15,0.1,1.52,0.05, stab-hit
93241,2.5,11.0,0.3,0.59,0.44,-0.15,0.05,1.67,0.1, stab-hit
93253,2.7,11.4,-0.0,0.59,0.29,-0.05,0.1,1.71,0.05, stab-hit
93266,2.8,11.8,-0.4,0.54,0.2,-0.1,0.1,1.67,0.15, stab-hit
93279,1.9,12.7,-1.0,0.44,0.0,-0.1,0.1,1.76,0.1, stab-hit
93292,2.1,13.0,-1.2,0.34,0.0,-0.15,0.15,1.76,0.2, stab-hit
93304,2.2,14.4,-1.3,0.44,-0.1,-0.15,0.2,1.67,0.24, stab-hit
93318,2.1,14.4,-1.3,0.34,-0.2,0.0,0.49,1.67,0.34, stab-hit
93330,0.4,14.4,-2.8,0.0,-0.73,0.88,0.98,1.32,-0.24, stab-hit
93343,-7.2,10.2,0.2,-0.1,-1.08,1.67,2.3,1.03,-0.49, stab-hit
93357,-12.4,7.7,2.8,-0.15,-1.23,2.25,2.94,0.59,-0.73, stab-hit
93369,-23.7,5.5,5.9,-0.1,-1.03,2.6,3.38,0.05,-0.88, stab-hit
93382,-30.7,-0.7,6.6,0.34,-0.64,3.38,4.26,-0.73,-0.64, stab-hit
93396,-33.7,-4.0,5.3,0.44,-0.29,4.12,4.8,-1.03,-0.64, stab-hit
93409,-39.1,-12.2,3.3,0.78,0.1,4.46,5.15,-1.23,0.05, stab-hit
93422,-39.1,-14.2,0.3,1.52,1.13,4.7,5.24,-1.52,0.1, stab-hit
93436,-39.1,-17.9,-3.6,1.71,1.52,4.7,5.1,-1.47,0.29, stab-hit
93449,-39.1,-17.4,-7.3,1.67,1.62,4.46,4.8,-1.37,0.15, stab-hit
93461,-39.1,-17.1,-7.0,1.47,1.37,4.31,4.65,-0.29,-0.05, stab-hit
93475,-39.1,-13.4,-5.5,0.73,0.39,4.02,4.36,0.39,-0.59, stab-hit
93488,-39.1,1.5,4.2,0.44,0.34,3.72,4.12,1.47,-1.18, stab-hit
93501,-38.3,11.0,9.5,0.29,1.62,3.14,2.55,1.62,-1.47, stab-hit
93513,-36.3,14.6,11.5,-0.1,3.23,1.91,2.06,2.25,-1.86, stab-hit
93527,-22.0,11.3,14.2,-0.05,3.53,1.03,1.42,2.3,-1.81, stab-hit
93540,-14.8,15.0,19.1,0.15,2.74,0.69,0.88,3.28,-1.42, stab-hit
93552,-6.2,27.0,17.8,0.59,2.25,0.29,-0.44,3.23,-0.54, stab-hit
93564,-4.8,32.2,16.3,0.93,4.65,-4.51,-3.09,3.72,0.2, stab-hit
93578,21.2,31.7,4.1,-0.15,5.73,-6.61,-5.39,4.07,0.2, stab-hit
93591,39.3,24.1,2.0,-1.08,6.47,-7.84,-7.94,3.14,-1.81, stab-hit
93603,39.3,23.3,9.5,0.98,2.74,-12.59,-27.54,1.96,1.76, stab-hit
93617,39.3,21.1,18.4,0.49,2.3,3.04,-7.94,-8.92,-1.23, stab-hit
93629,24.4,-38.7,17.7,0.29,0.78,-4.02,-1.23,2.45,3.53, stab-hit
93643,-27.0,-29.4,37.4,4.85,-0.29,-8.04,-6.91,8.72,6.81, stab-hit
93656,38.0,5.5,13.1,3.48,-0.44,-3.23,-0.1,6.27,4.7, stab-hit
93669,15.9,14.2,-38.7,1.91,2.4,-4.51,-1.57,1.47,2.21, stab-hit
93682,5.9,27.1,-34.1,0.69,3.33,-4.21,-3.33,1.57,1.23, stab-hit
93697,39.3,11.8,-16.4,0.05,3.28,-3.77,-2.99,1.76,0.0, stab-hit
93709,33.3,4.7,-3.5,-0.34,2.4,-2.11,-1.47,1.57,-0.69, stab-hit
93722,27.6,9.7,4.9,-0.49,1.67,-1.32,-0.69,2.11,-0.39, stab-hit
93735,15.3,20.9,8.9,-0.44,1.27,-0.59,0.05,2.65,-0.05, stab-hit
93749,5.5,27.8,4.3,-0.1,1.08,0.44,0.73,3.48,0.44, stab-hit
93761,-4.8,24.2,-1.9,-0.1,1.52,0.39,0.88,3.19,0.15, stab-hit
93775,-5.6,21.8,-3.3,-0.44,1.81,0.39,0.83,2.55,-0.44, stab-hit
93788,-5.0,19.6,3.0,-0.83,1.86,0.64,0.83,2.25,-1.62, stab-hit
93800,-7.1,19.9,12.6,-1.27,1.81,1.71,1.71,2.01,-1.86, stab-hit
93813,-9.2,19.8,16.6,-1.47,1.96,2.16,2.11,1.47,-1.62, stab-hit
93826,-13.3,20.2,19.1,-1.13,2.21,2.35,2.35,0.88,-1.23, stab-hit
93839,-21.6,9.0,11.1,-0.59,2.4,2.3,2.3,0.54,-0.1, stab-hit
93851,-21.8,5.0,6.1,-0.2,2.25,2.06,2.11,0.39,0.1, stab-hit
93864,-20.5,1.4,1.5,0.15,2.16,1.91,2.16,0.24,0.2, stab-hit
93877,-17.5,0.0,-3.4,0.2,2.01,1.86,2.06,0.29,0.34, stab-hit
93890,-17.1,-0.3,-4.6,0.29,2.01,1.67,1.81,0.34,0.39, stab-hit
93902,-15.3,-0.3,-5.6,0.2,2.01,1.37,1.67,0.39,0.34, stab-hit
93916,-14.5,-0.5,-5.7,-0.05,1.62,1.47,1.71,0.54,0.1, stab-hit
93928,-13.1,2.2,-2.6,0.0,1.42,1.67,1.96,0.78,-0.05, stab-hit
93941,-16.3,5.6,1.1,0.05,1.23,1.71,1.96,1.03,0.0, stab-hit
93955,-16.8,5.6,1.0,0.1,1.32,1.42,1.81,0.93,0.0, stab-hit
93967,-14.0,4.0,-0.6,0.2,1.32,1.18,1.62,0.78,0.0, stab-hit
93980,-12.5,4.4,-0.5,0.2,1.27,1.08,1.27,0.73,0.2, stab-hit
93993,-11.1,4.3,-0.8,0.2,1.13,0.98,1.32,0.93,0.24, stab-hit
94007,-9.7,6.3,-3.2,-0.24,0.59,0.93,1.32,1.23,0.59, stab-hit
94020,-9.4,7.5,-5.0,-0.64,0.49,0.83,1.18,1.37,0.73, stab-hit
94033,-9.6,6.3,-6.5,-0.83,0.39,0.73,0.93,1.27,0.54, stab-hit
94046,-6.4,13.6,-5.4,-0.83,0.49,0.49,0.83,1.18,0.29, stab-hit
94059,-5.2,12.7,-3.5,-0.49,0.59,0.44,0.69,1.37,0.05, stab-hit
94072,-4.1,10.5,-2.0,-0.15,0.73,0.49,0.64,1.23,0.0, stab-hit
94086,-3.7,9.9,-0.6,0.0,0.73,0.39,0.59,1.18,-0.05, stab-hit
94098,-3.2,8.8,0.8,0.05,0.93,0.34,0.49,1.23,0.0, stab-hit
94110,-2.9,7.9,1.0,0.15,0.98,0.34,0.49,1.27,-0.1, stab-hit
94125,-2.7,7.6,0.8,0.1,0.93,0.29,0.54,1.23,-0.2, stab-hit
94137,-2.4,8.9,2.0,0.1,0.83,0.39,0.54,1.32,-0.1, stab-hit
94149,-2.9,10.1,2.7,0.1,0.88,0.44,0.64,1.37,-0.1, stab-hit
94161,-3.0,10.0,2.5,0.24,0.93,0.44,0.64,1.37,-0.05, stab-hit
94175,-3.2,9.8,2.2,0.2,0.98,0.44,0.64,1.37,-0.05, stab-hit
94188,-3.7,9.2,1.6,0.24,1.08,0.44,0.64,1.23,0.0, stab-hit
94200,-3.6,8.9,1.3,0.29,1.18,0.39,0.59,1.27,-0.05, stab-hit
94213,-3.6,8.5,1.0,0.34,1.18,0.44,0.59,1.23,-0.1, stab-hit
94225,-3.3,9.2,1.3,0.39,1.18,0.44,0.64,1.27,0.0, stab-hit
94238,-3.4,9.4,1.3,0.34,1.27,0.39,0.64,1.32,-0.05, stab-hit
94251,-3.4,9.1,1.1,0.34,1.32,0.44,0.64,1.32,0.0, stab-hit
94263,-3.7,9.2,1.1,0.39,1.37,0.44,0.64,1.27,0.0, stab-hit
94276,-3.6,8.7,0.6,0.39,1.42,0.44,0.64,1.27,-0.1, stab-hit
94288,-3.5,9.1,0.9,0.44,1.37,0.39,0.64,1.27,-0.05, stab-hit
94301,-3.5,9.4,1.2,0.39,1.37,0.44,0.59,1.37,-0.05, stab-hit
94314,-3.4,9.9,1.5,0.44,1.47,0.29,0.54,1.42,0.0, stab-hit
94326,-2.9,9.8,0.6,0.49,1.57,0.29,0.54,1.32,0.05, stab-hit
94340,-2.6,9.4,0.2,0.54,1.52,0.29,0.49,1.32,0.1, stab-hit
94352,-2.3,9.1,-0.1,0.59,1.57,0.24,0.49,1.32,0.05, stab-hit
94365,-1.8,9.4,-0.7,0.44,1.52,0.2,0.44,1.32,0.05, stab-hit
94377,-1.6,9.4,-0.6,0.49,1.52,0.2,0.39,1.32,0.05, stab-hit
